reporting_unit,county,rep_unit_2024,tract_GEOID,prop_of_rep_unit_2024
CITY OF ADAMS WARDS 1-5,ADAMS,ADAMS - CITY OF ADAMS WARDS 1-5,55001950400,1
"CITY OF WISCONSIN DELLS WARDS 5,9",ADAMS,"ADAMS - CITY OF WISCONSIN DELLS WARDS 5,9",55001950700,1
TOWN OF ADAMS WARDS 1-3,ADAMS,ADAMS - TOWN OF ADAMS WARDS 1-3,55001950201,0.038510911424903725
TOWN OF ADAMS WARDS 1-3,ADAMS,ADAMS - TOWN OF ADAMS WARDS 1-3,55001950400,0.9422336328626444
TOWN OF ADAMS WARDS 1-3,ADAMS,ADAMS - TOWN OF ADAMS WARDS 1-3,55001950501,0.011553273427471117
TOWN OF ADAMS WARDS 1-3,ADAMS,ADAMS - TOWN OF ADAMS WARDS 1-3,55001950502,0.007702182284980745
TOWN OF BIG FLATS WARDS 1-2,ADAMS,ADAMS - TOWN OF BIG FLATS WARDS 1-2,55001950203,0.5496575342465754
TOWN OF BIG FLATS WARDS 1-2,ADAMS,ADAMS - TOWN OF BIG FLATS WARDS 1-2,55001950204,0.4503424657534247
TOWN OF COLBURN WARD 1,ADAMS,ADAMS - TOWN OF COLBURN WARD 1,55001950203,0.6357615894039735
TOWN OF COLBURN WARD 1,ADAMS,ADAMS - TOWN OF COLBURN WARD 1,55001950204,0.36423841059602646
TOWN OF DELL PRAIRIE WARDS 1-2,ADAMS,ADAMS - TOWN OF DELL PRAIRIE WARDS 1-2,55001950700,1
TOWN OF EASTON WARD 1,ADAMS,ADAMS - TOWN OF EASTON WARD 1,55001950501,0.281786941580756
TOWN OF EASTON WARD 1,ADAMS,ADAMS - TOWN OF EASTON WARD 1,55001950502,0.718213058419244
TOWN OF JACKSON WARDS 1-2,ADAMS,ADAMS - TOWN OF JACKSON WARDS 1-2,55001950700,1
TOWN OF LEOLA WARD 1,ADAMS,ADAMS - TOWN OF LEOLA WARD 1,55001950100,0.9753086419753086
TOWN OF LEOLA WARD 1,ADAMS,ADAMS - TOWN OF LEOLA WARD 1,55001950203,0.024691358024691357
TOWN OF LINCOLN WARD 1,ADAMS,ADAMS - TOWN OF LINCOLN WARD 1,55001950400,1
TOWN OF MONROE WARD 1,ADAMS,ADAMS - TOWN OF MONROE WARD 1,55001950204,1
TOWN OF NEW CHESTER WARDS 1-3,ADAMS,ADAMS - TOWN OF NEW CHESTER WARDS 1-3,55001950400,0.060215053763440864
TOWN OF NEW CHESTER WARDS 1-3,ADAMS,ADAMS - TOWN OF NEW CHESTER WARDS 1-3,55001950502,0.7010752688172043
TOWN OF NEW CHESTER WARDS 1-3,ADAMS,ADAMS - TOWN OF NEW CHESTER WARDS 1-3,55001950700,0.23870967741935484
TOWN OF NEW HAVEN WARD 1,ADAMS,ADAMS - TOWN OF NEW HAVEN WARD 1,55001950700,1
TOWN OF PRESTON WARDS 1-2,ADAMS,ADAMS - TOWN OF PRESTON WARDS 1-2,55001950201,0.410288582183187
TOWN OF PRESTON WARDS 1-2,ADAMS,ADAMS - TOWN OF PRESTON WARDS 1-2,55001950203,0.18444165621079048
TOWN OF PRESTON WARDS 1-2,ADAMS,ADAMS - TOWN OF PRESTON WARDS 1-2,55001950204,0.1668757841907152
TOWN OF PRESTON WARDS 1-2,ADAMS,ADAMS - TOWN OF PRESTON WARDS 1-2,55001950400,0.2383939774153074
TOWN OF QUINCY WARDS 1-2,ADAMS,ADAMS - TOWN OF QUINCY WARDS 1-2,55001950400,0.040051679586563305
TOWN OF QUINCY WARDS 1-2,ADAMS,ADAMS - TOWN OF QUINCY WARDS 1-2,55001950501,0.9599483204134367
TOWN OF RICHFIELD WARD 1,ADAMS,ADAMS - TOWN OF RICHFIELD WARD 1,55001950204,1
TOWN OF ROME WARDS 1-4,ADAMS,ADAMS - TOWN OF ROME WARDS 1-4,55001950100,0.9822741028966709
TOWN OF ROME WARDS 1-4,ADAMS,ADAMS - TOWN OF ROME WARDS 1-4,55001950204,0.01772589710332901
TOWN OF SPRINGVILLE WARDS 1-2,ADAMS,ADAMS - TOWN OF SPRINGVILLE WARDS 1-2,55001950502,1
TOWN OF STRONGS PRAIRIE WARDS 1-2,ADAMS,ADAMS - TOWN OF STRONGS PRAIRIE WARDS 1-2,55001950201,0.6950067476383266
TOWN OF STRONGS PRAIRIE WARDS 1-2,ADAMS,ADAMS - TOWN OF STRONGS PRAIRIE WARDS 1-2,55001950203,0.014844804318488529
TOWN OF STRONGS PRAIRIE WARDS 1-2,ADAMS,ADAMS - TOWN OF STRONGS PRAIRIE WARDS 1-2,55001950204,0.28475033738191635
TOWN OF STRONGS PRAIRIE WARDS 1-2,ADAMS,ADAMS - TOWN OF STRONGS PRAIRIE WARDS 1-2,55001950400,0.005398110661268556
VILLAGE OF FRIENDSHIP WARD 1,ADAMS,ADAMS - VILLAGE OF FRIENDSHIP WARD 1,55001950400,1
CITY OF ASHLAND WARDS 1-21,ASHLAND,ASHLAND - CITY OF ASHLAND WARDS 1-21,55003950300,0.3696581196581197
CITY OF ASHLAND WARDS 1-21,ASHLAND,ASHLAND - CITY OF ASHLAND WARDS 1-21,55003950400,0.2922602089268756
CITY OF ASHLAND WARDS 1-21,ASHLAND,ASHLAND - CITY OF ASHLAND WARDS 1-21,55003950800,0.3380816714150047
CITY OF MELLEN WARD 1,ASHLAND,ASHLAND - CITY OF MELLEN WARD 1,55003950600,1
TOWN OF AGENDA WARD 1,ASHLAND,ASHLAND - TOWN OF AGENDA WARD 1,55003950700,1
TOWN OF ASHLAND WARD 1,ASHLAND,ASHLAND - TOWN OF ASHLAND WARD 1,55003940000,0.09615384615384616
TOWN OF ASHLAND WARD 1,ASHLAND,ASHLAND - TOWN OF ASHLAND WARD 1,55003950500,0.8589743589743589
TOWN OF ASHLAND WARD 1,ASHLAND,ASHLAND - TOWN OF ASHLAND WARD 1,55003950600,0.04487179487179487
TOWN OF CHIPPEWA WARD 1,ASHLAND,ASHLAND - TOWN OF CHIPPEWA WARD 1,55003950700,1
TOWN OF GINGLES WARDS 1-2,ASHLAND,ASHLAND - TOWN OF GINGLES WARDS 1-2,55003940000,0.14225053078556263
TOWN OF GINGLES WARDS 1-2,ASHLAND,ASHLAND - TOWN OF GINGLES WARDS 1-2,55003950500,0.8407643312101911
TOWN OF GINGLES WARDS 1-2,ASHLAND,ASHLAND - TOWN OF GINGLES WARDS 1-2,55003950800,0.016985138004246284
TOWN OF GORDON WARD 1,ASHLAND,ASHLAND - TOWN OF GORDON WARD 1,55003950600,0.8117647058823529
TOWN OF GORDON WARD 1,ASHLAND,ASHLAND - TOWN OF GORDON WARD 1,55003950700,0.18823529411764706
TOWN OF JACOBS WARDS 1-2,ASHLAND,ASHLAND - TOWN OF JACOBS WARDS 1-2,55003950700,1
TOWN OF LA POINTE WARD 1,ASHLAND,ASHLAND - TOWN OF LA POINTE WARD 1,55003950800,1
TOWN OF MARENGO WARD 1,ASHLAND,ASHLAND - TOWN OF MARENGO WARD 1,55003940000,0.020080321285140562
TOWN OF MARENGO WARD 1,ASHLAND,ASHLAND - TOWN OF MARENGO WARD 1,55003950500,0.9759036144578314
TOWN OF MARENGO WARD 1,ASHLAND,ASHLAND - TOWN OF MARENGO WARD 1,55003950600,0.004016064257028112
TOWN OF MORSE WARDS 1-2,ASHLAND,ASHLAND - TOWN OF MORSE WARDS 1-2,55003940000,0.1839080459770115
TOWN OF MORSE WARDS 1-2,ASHLAND,ASHLAND - TOWN OF MORSE WARDS 1-2,55003950500,0.005747126436781609
TOWN OF MORSE WARDS 1-2,ASHLAND,ASHLAND - TOWN OF MORSE WARDS 1-2,55003950600,0.8103448275862069
TOWN OF PEEKSVILLE WARD 1,ASHLAND,ASHLAND - TOWN OF PEEKSVILLE WARD 1,55003950700,1
TOWN OF SANBORN WARDS 1-2,ASHLAND,ASHLAND - TOWN OF SANBORN WARDS 1-2,55003940000,1
TOWN OF SHANAGOLDEN WARD 1,ASHLAND,ASHLAND - TOWN OF SHANAGOLDEN WARD 1,55003950600,0.04938271604938271
TOWN OF SHANAGOLDEN WARD 1,ASHLAND,ASHLAND - TOWN OF SHANAGOLDEN WARD 1,55003950700,0.9506172839506173
TOWN OF WHITE RIVER WARDS 1-2,ASHLAND,ASHLAND - TOWN OF WHITE RIVER WARDS 1-2,55003940000,0.33268858800773693
TOWN OF WHITE RIVER WARDS 1-2,ASHLAND,ASHLAND - TOWN OF WHITE RIVER WARDS 1-2,55003950500,0.6673114119922631
VILLAGE OF BUTTERNUT WARD 1,ASHLAND,ASHLAND - VILLAGE OF BUTTERNUT WARD 1,55003950700,1
CITY OF BARRON WARDS 1-7,BARRON,BARRON - CITY OF BARRON WARDS 1-7,55005000400,1
CITY OF CHETEK WARDS 1-4,BARRON,BARRON - CITY OF CHETEK WARDS 1-4,55005001003,0.4629963898916967
CITY OF CHETEK WARDS 1-4,BARRON,BARRON - CITY OF CHETEK WARDS 1-4,55005001004,0.5370036101083032
CITY OF CUMBERLAND WARDS 1-5,BARRON,BARRON - CITY OF CUMBERLAND WARDS 1-5,55005000200,0.9983593109105825
CITY OF CUMBERLAND WARDS 1-5,BARRON,BARRON - CITY OF CUMBERLAND WARDS 1-5,55005000300,0.0016406890894175555
CITY OF RICE LAKE WARDS 1-20,BARRON,BARRON - CITY OF RICE LAKE WARDS 1-20,55005000400,0.0017039922103213243
CITY OF RICE LAKE WARDS 1-20,BARRON,BARRON - CITY OF RICE LAKE WARDS 1-20,55005000500,0.509493670886076
CITY OF RICE LAKE WARDS 1-20,BARRON,BARRON - CITY OF RICE LAKE WARDS 1-20,55005000601,0.19352482960077896
CITY OF RICE LAKE WARDS 1-20,BARRON,BARRON - CITY OF RICE LAKE WARDS 1-20,55005000602,0.29527750730282376
TOWN OF ALMENA WARDS 1-2,BARRON,BARRON - TOWN OF ALMENA WARDS 1-2,55005000300,0.9905660377358491
TOWN OF ALMENA WARDS 1-2,BARRON,BARRON - TOWN OF ALMENA WARDS 1-2,55005000900,0.009433962264150943
TOWN OF ARLAND WARD 1,BARRON,BARRON - TOWN OF ARLAND WARD 1,55005000900,1
TOWN OF BARRON WARDS 1-2,BARRON,BARRON - TOWN OF BARRON WARDS 1-2,55005000400,0.9950372208436724
TOWN OF BARRON WARDS 1-2,BARRON,BARRON - TOWN OF BARRON WARDS 1-2,55005000900,0.004962779156327543
TOWN OF BEAR LAKE WARD 1,BARRON,BARRON - TOWN OF BEAR LAKE WARD 1,55005000100,1
TOWN OF CEDAR LAKE WARDS 1-2,BARRON,BARRON - TOWN OF CEDAR LAKE WARDS 1-2,55005000100,1
TOWN OF CHETEK WARDS 1-3,BARRON,BARRON - TOWN OF CHETEK WARDS 1-3,55005001001,0.012975778546712802
TOWN OF CHETEK WARDS 1-3,BARRON,BARRON - TOWN OF CHETEK WARDS 1-3,55005001003,0.2655709342560554
TOWN OF CHETEK WARDS 1-3,BARRON,BARRON - TOWN OF CHETEK WARDS 1-3,55005001004,0.7214532871972318
TOWN OF CLINTON WARD 1,BARRON,BARRON - TOWN OF CLINTON WARD 1,55005000300,0.8787061994609164
TOWN OF CLINTON WARD 1,BARRON,BARRON - TOWN OF CLINTON WARD 1,55005000400,0.029649595687331536
TOWN OF CLINTON WARD 1,BARRON,BARRON - TOWN OF CLINTON WARD 1,55005000900,0.09164420485175202
TOWN OF CRYSTAL LAKE WARD 1,BARRON,BARRON - TOWN OF CRYSTAL LAKE WARD 1,55005000200,0.7693920335429769
TOWN OF CRYSTAL LAKE WARD 1,BARRON,BARRON - TOWN OF CRYSTAL LAKE WARD 1,55005000300,0.23060796645702306
TOWN OF CUMBERLAND WARD 1,BARRON,BARRON - TOWN OF CUMBERLAND WARD 1,55005000100,0.03969754253308128
TOWN OF CUMBERLAND WARD 1,BARRON,BARRON - TOWN OF CUMBERLAND WARD 1,55005000200,0.16257088846880907
TOWN OF CUMBERLAND WARD 1,BARRON,BARRON - TOWN OF CUMBERLAND WARD 1,55005000300,0.7466918714555766
TOWN OF CUMBERLAND WARD 1,BARRON,BARRON - TOWN OF CUMBERLAND WARD 1,55005000400,0.05103969754253308
TOWN OF DALLAS WARDS 1-2,BARRON,BARRON - TOWN OF DALLAS WARDS 1-2,55005000900,1
TOWN OF DOVRE WARD 1,BARRON,BARRON - TOWN OF DOVRE WARD 1,55005001001,0.4896907216494845
TOWN OF DOVRE WARD 1,BARRON,BARRON - TOWN OF DOVRE WARD 1,55005001004,0.5103092783505154
TOWN OF DOYLE WARDS 1-2,BARRON,BARRON - TOWN OF DOYLE WARDS 1-2,55005000800,1
TOWN OF LAKELAND WARDS 1-2,BARRON,BARRON - TOWN OF LAKELAND WARDS 1-2,55005000100,0.75
TOWN OF LAKELAND WARDS 1-2,BARRON,BARRON - TOWN OF LAKELAND WARDS 1-2,55005000200,0.25
TOWN OF MAPLE GROVE WARDS 1-2,BARRON,BARRON - TOWN OF MAPLE GROVE WARDS 1-2,55005000400,0.04065040650406504
TOWN OF MAPLE GROVE WARDS 1-2,BARRON,BARRON - TOWN OF MAPLE GROVE WARDS 1-2,55005000900,0.959349593495935
TOWN OF MAPLE PLAIN WARD 1,BARRON,BARRON - TOWN OF MAPLE PLAIN WARD 1,55005000200,1
TOWN OF OAK GROVE WARDS 1-2,BARRON,BARRON - TOWN OF OAK GROVE WARDS 1-2,55005000100,1
TOWN OF PRAIRIE FARM WARDS 1-2,BARRON,BARRON - TOWN OF PRAIRIE FARM WARDS 1-2,55005000900,0.9967741935483871
TOWN OF PRAIRIE FARM WARDS 1-2,BARRON,BARRON - TOWN OF PRAIRIE FARM WARDS 1-2,55033970100,0.0032258064516129032
TOWN OF PRAIRIE LAKE WARDS 1-2,BARRON,BARRON - TOWN OF PRAIRIE LAKE WARDS 1-2,55005001001,0.4542713567839196
TOWN OF PRAIRIE LAKE WARDS 1-2,BARRON,BARRON - TOWN OF PRAIRIE LAKE WARDS 1-2,55005001003,0.22512562814070353
TOWN OF PRAIRIE LAKE WARDS 1-2,BARRON,BARRON - TOWN OF PRAIRIE LAKE WARDS 1-2,55005001004,0.32060301507537686
TOWN OF RICE LAKE WARDS 1-4,BARRON,BARRON - TOWN OF RICE LAKE WARDS 1-4,55005000100,0.1104368932038835
TOWN OF RICE LAKE WARDS 1-4,BARRON,BARRON - TOWN OF RICE LAKE WARDS 1-4,55005000400,0.10436893203883495
TOWN OF RICE LAKE WARDS 1-4,BARRON,BARRON - TOWN OF RICE LAKE WARDS 1-4,55005000500,0.043689320388349516
TOWN OF RICE LAKE WARDS 1-4,BARRON,BARRON - TOWN OF RICE LAKE WARDS 1-4,55005000601,0.19053398058252427
TOWN OF RICE LAKE WARDS 1-4,BARRON,BARRON - TOWN OF RICE LAKE WARDS 1-4,55005000602,0.3604368932038835
TOWN OF RICE LAKE WARDS 1-4,BARRON,BARRON - TOWN OF RICE LAKE WARDS 1-4,55005000800,0.19053398058252427
TOWN OF SIOUX CREEK WARD 1,BARRON,BARRON - TOWN OF SIOUX CREEK WARD 1,55005000900,0.10236220472440945
TOWN OF SIOUX CREEK WARD 1,BARRON,BARRON - TOWN OF SIOUX CREEK WARD 1,55005001001,0.8976377952755905
TOWN OF STANFOLD WARD 1,BARRON,BARRON - TOWN OF STANFOLD WARD 1,55005000400,1
TOWN OF STANLEY WARDS 1-4,BARRON,BARRON - TOWN OF STANLEY WARDS 1-4,55005000400,0.03698435277382646
TOWN OF STANLEY WARDS 1-4,BARRON,BARRON - TOWN OF STANLEY WARDS 1-4,55005000500,0.019203413940256046
TOWN OF STANLEY WARDS 1-4,BARRON,BARRON - TOWN OF STANLEY WARDS 1-4,55005000601,0.020625889046941678
TOWN OF STANLEY WARDS 1-4,BARRON,BARRON - TOWN OF STANLEY WARDS 1-4,55005000800,0.7446657183499289
TOWN OF STANLEY WARDS 1-4,BARRON,BARRON - TOWN OF STANLEY WARDS 1-4,55005001001,0.05903271692745377
TOWN OF STANLEY WARDS 1-4,BARRON,BARRON - TOWN OF STANLEY WARDS 1-4,55005001004,0.11948790896159317
TOWN OF SUMNER WARD 1,BARRON,BARRON - TOWN OF SUMNER WARD 1,55005000800,0.9229074889867841
TOWN OF SUMNER WARD 1,BARRON,BARRON - TOWN OF SUMNER WARD 1,55005001004,0.07709251101321586
TOWN OF TURTLE LAKE WARD 1,BARRON,BARRON - TOWN OF TURTLE LAKE WARD 1,55005000300,0.09482758620689655
TOWN OF TURTLE LAKE WARD 1,BARRON,BARRON - TOWN OF TURTLE LAKE WARD 1,55005000900,0.9051724137931034
TOWN OF VANCE CREEK WARD 1,BARRON,BARRON - TOWN OF VANCE CREEK WARD 1,55005000900,1
VILLAGE OF ALMENA WARD 1,BARRON,BARRON - VILLAGE OF ALMENA WARD 1,55005000300,1
VILLAGE OF CAMERON WARDS 1-3,BARRON,BARRON - VILLAGE OF CAMERON WARDS 1-3,55005000800,0.9977349943374858
VILLAGE OF CAMERON WARDS 1-3,BARRON,BARRON - VILLAGE OF CAMERON WARDS 1-3,55005001004,0.0022650056625141564
VILLAGE OF DALLAS WARD 1,BARRON,BARRON - VILLAGE OF DALLAS WARD 1,55005000900,1
VILLAGE OF HAUGEN WARD 1,BARRON,BARRON - VILLAGE OF HAUGEN WARD 1,55005000100,1
VILLAGE OF NEW AUBURN WARD 2,BARRON,BARRON - VILLAGE OF NEW AUBURN WARD 2,55005001004,1
VILLAGE OF PRAIRIE FARM WARD 1,BARRON,BARRON - VILLAGE OF PRAIRIE FARM WARD 1,55005000900,1
VILLAGE OF TURTLE LAKE WARD 1,BARRON,BARRON - VILLAGE OF TURTLE LAKE WARD 1,55005000300,1
CITY OF BAYFIELD WARDS 1-4,BAYFIELD,BAYFIELD - CITY OF BAYFIELD WARDS 1-4,55007960100,1
CITY OF WASHBURN WARDS 1-5,BAYFIELD,BAYFIELD - CITY OF WASHBURN WARDS 1-5,55007960300,1
TOWN OF BARKSDALE WARDS 1-2,BAYFIELD,BAYFIELD - TOWN OF BARKSDALE WARDS 1-2,55007960300,0.8409542743538767
TOWN OF BARKSDALE WARDS 1-2,BAYFIELD,BAYFIELD - TOWN OF BARKSDALE WARDS 1-2,55007960402,0.15904572564612326
TOWN OF BARNES WARD 1,BAYFIELD,BAYFIELD - TOWN OF BARNES WARD 1,55007960401,0.3058823529411765
TOWN OF BARNES WARD 1,BAYFIELD,BAYFIELD - TOWN OF BARNES WARD 1,55007960600,0.6941176470588235
TOWN OF BAYFIELD WARDS 1-2,BAYFIELD,BAYFIELD - TOWN OF BAYFIELD WARDS 1-2,55007960100,1
TOWN OF BAYVIEW WARD 1,BAYFIELD,BAYFIELD - TOWN OF BAYVIEW WARD 1,55007960100,0.12573099415204678
TOWN OF BAYVIEW WARD 1,BAYFIELD,BAYFIELD - TOWN OF BAYVIEW WARD 1,55007960300,0.8742690058479532
TOWN OF BELL WARD 1,BAYFIELD,BAYFIELD - TOWN OF BELL WARD 1,55007960100,0.7313432835820896
TOWN OF BELL WARD 1,BAYFIELD,BAYFIELD - TOWN OF BELL WARD 1,55007960200,0.26865671641791045
TOWN OF CABLE WARD 1,BAYFIELD,BAYFIELD - TOWN OF CABLE WARD 1,55007960600,1
TOWN OF CLOVER WARD 1,BAYFIELD,BAYFIELD - TOWN OF CLOVER WARD 1,55007960200,1
TOWN OF DELTA WARD 1,BAYFIELD,BAYFIELD - TOWN OF DELTA WARD 1,55007960401,0.632
TOWN OF DELTA WARD 1,BAYFIELD,BAYFIELD - TOWN OF DELTA WARD 1,55007960402,0.368
TOWN OF DRUMMOND WARDS 1-2,BAYFIELD,BAYFIELD - TOWN OF DRUMMOND WARDS 1-2,55007960401,0.09138381201044386
TOWN OF DRUMMOND WARDS 1-2,BAYFIELD,BAYFIELD - TOWN OF DRUMMOND WARDS 1-2,55007960402,0.32114882506527415
TOWN OF DRUMMOND WARDS 1-2,BAYFIELD,BAYFIELD - TOWN OF DRUMMOND WARDS 1-2,55007960600,0.587467362924282
TOWN OF EILEEN WARDS 1-2,BAYFIELD,BAYFIELD - TOWN OF EILEEN WARDS 1-2,55007960402,1
TOWN OF GRAND VIEW WARD 1,BAYFIELD,BAYFIELD - TOWN OF GRAND VIEW WARD 1,55007960402,0.6558265582655827
TOWN OF GRAND VIEW WARD 1,BAYFIELD,BAYFIELD - TOWN OF GRAND VIEW WARD 1,55007960600,0.34417344173441733
TOWN OF HUGHES WARD 1,BAYFIELD,BAYFIELD - TOWN OF HUGHES WARD 1,55007960200,0.16666666666666666
TOWN OF HUGHES WARD 1,BAYFIELD,BAYFIELD - TOWN OF HUGHES WARD 1,55007960401,0.8333333333333334
TOWN OF IRON RIVER WARDS 1-2,BAYFIELD,BAYFIELD - TOWN OF IRON RIVER WARDS 1-2,55007960200,0.11327649208282582
TOWN OF IRON RIVER WARDS 1-2,BAYFIELD,BAYFIELD - TOWN OF IRON RIVER WARDS 1-2,55007960401,0.8477466504263094
TOWN OF IRON RIVER WARDS 1-2,BAYFIELD,BAYFIELD - TOWN OF IRON RIVER WARDS 1-2,55007960402,0.0389768574908648
TOWN OF KELLY WARD 1,BAYFIELD,BAYFIELD - TOWN OF KELLY WARD 1,55007960402,1
TOWN OF KEYSTONE WARD 1,BAYFIELD,BAYFIELD - TOWN OF KEYSTONE WARD 1,55007960200,0.06153846153846154
TOWN OF KEYSTONE WARD 1,BAYFIELD,BAYFIELD - TOWN OF KEYSTONE WARD 1,55007960402,0.9384615384615385
TOWN OF LINCOLN WARD 1,BAYFIELD,BAYFIELD - TOWN OF LINCOLN WARD 1,55007960402,0.9502762430939227
TOWN OF LINCOLN WARD 1,BAYFIELD,BAYFIELD - TOWN OF LINCOLN WARD 1,55007960600,0.049723756906077346
TOWN OF MASON WARD 1,BAYFIELD,BAYFIELD - TOWN OF MASON WARD 1,55007960402,1
TOWN OF NAMAKAGON WARD 1,BAYFIELD,BAYFIELD - TOWN OF NAMAKAGON WARD 1,55007960600,1
TOWN OF ORIENTA WARD 1,BAYFIELD,BAYFIELD - TOWN OF ORIENTA WARD 1,55007960200,1
TOWN OF OULU WARD 1,BAYFIELD,BAYFIELD - TOWN OF OULU WARD 1,55007960200,1
TOWN OF PILSEN WARD 1,BAYFIELD,BAYFIELD - TOWN OF PILSEN WARD 1,55007960200,0.07042253521126761
TOWN OF PILSEN WARD 1,BAYFIELD,BAYFIELD - TOWN OF PILSEN WARD 1,55007960402,0.9295774647887324
TOWN OF PORT WING WARD 1,BAYFIELD,BAYFIELD - TOWN OF PORT WING WARD 1,55007960200,1
TOWN OF RUSSELL WARDS 1-3,BAYFIELD,BAYFIELD - TOWN OF RUSSELL WARDS 1-3,55007960100,1
TOWN OF TRIPP WARD 1,BAYFIELD,BAYFIELD - TOWN OF TRIPP WARD 1,55007960200,0.7393617021276596
TOWN OF TRIPP WARD 1,BAYFIELD,BAYFIELD - TOWN OF TRIPP WARD 1,55007960401,0.26063829787234044
TOWN OF WASHBURN WARDS 1-2,BAYFIELD,BAYFIELD - TOWN OF WASHBURN WARDS 1-2,55007960300,1
VILLAGE OF MASON WARD 1,BAYFIELD,BAYFIELD - VILLAGE OF MASON WARD 1,55007960402,1
CITY OF DE PERE WARDS 1-5,BROWN,BROWN - CITY OF DE PERE WARDS 1-5,55009010100,0.9823619631901841
CITY OF DE PERE WARDS 1-5,BROWN,BROWN - CITY OF DE PERE WARDS 1-5,55009010300,0.01763803680981595
CITY OF DE PERE WARDS 10-16,BROWN,BROWN - CITY OF DE PERE WARDS 10-16,55009010201,0.4369715603382014
CITY OF DE PERE WARDS 10-16,BROWN,BROWN - CITY OF DE PERE WARDS 10-16,55009010202,0.5630284396617986
CITY OF DE PERE WARDS 17-23,BROWN,BROWN - CITY OF DE PERE WARDS 17-23,55009010201,0.22208796520058
CITY OF DE PERE WARDS 17-23,BROWN,BROWN - CITY OF DE PERE WARDS 17-23,55009010202,0.3914934751087482
CITY OF DE PERE WARDS 17-23,BROWN,BROWN - CITY OF DE PERE WARDS 17-23,55009940007,0.38641855969067185
CITY OF DE PERE WARDS 6-9,BROWN,BROWN - CITY OF DE PERE WARDS 6-9,55009010100,0.0586145648312611
CITY OF DE PERE WARDS 6-9,BROWN,BROWN - CITY OF DE PERE WARDS 6-9,55009010300,0.7682060390763765
CITY OF DE PERE WARDS 6-9,BROWN,BROWN - CITY OF DE PERE WARDS 6-9,55009021400,0.17317939609236235
CITY OF GREEN BAY WARD 1,BROWN,BROWN - CITY OF GREEN BAY WARD 1,55009020100,1
CITY OF GREEN BAY WARD 10,BROWN,BROWN - CITY OF GREEN BAY WARD 10,55009001600,0.37331838565022424
CITY OF GREEN BAY WARD 10,BROWN,BROWN - CITY OF GREEN BAY WARD 10,55009002001,0.6266816143497758
CITY OF GREEN BAY WARD 11,BROWN,BROWN - CITY OF GREEN BAY WARD 11,55009002002,1
CITY OF GREEN BAY WARD 11A,BROWN,BROWN - CITY OF GREEN BAY WARD 11A,55009002001,0.016574585635359115
CITY OF GREEN BAY WARD 11A,BROWN,BROWN - CITY OF GREEN BAY WARD 11A,55009002002,0.9834254143646409
CITY OF GREEN BAY WARD 12,BROWN,BROWN - CITY OF GREEN BAY WARD 12,55009001600,1
CITY OF GREEN BAY WARD 12A,BROWN,BROWN - CITY OF GREEN BAY WARD 12A,55009001600,1
CITY OF GREEN BAY WARD 13,BROWN,BROWN - CITY OF GREEN BAY WARD 13,55009001400,0.2508751458576429
CITY OF GREEN BAY WARD 13,BROWN,BROWN - CITY OF GREEN BAY WARD 13,55009001600,0.7491248541423571
