reporting_unit,county,ctv,municipality,MCD_FIPS,pop,pop_hisp,pop_white,pop_black,pop_asian,pop_aian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_asian,vap_aian,vap_nhpi,vap_other,vap_two,pop_per_sq_mi
CITY OF ADAMS WARDS 1-5,ADAMS,C,ADAMS,5500100275,1761,75,1591,32,5,49,1,8,0,1394,51,1287,17,4,28,1,6,0,6446.848015257419
"CITY OF WISCONSIN DELLS WARDS 5,9",ADAMS,C,WISCONSIN DELLS,5500188150,38,2,30,3,2,1,0,0,0,33,2,27,3,0,1,0,0,0,236.25137563379056
TOWN OF ADAMS WARDS 1-3,ADAMS,T,ADAMS,5500100300,1433,66,1312,10,8,18,1,15,3,1202,42,1121,6,4,18,1,9,1,308.45625658092547
TOWN OF BIG FLATS WARDS 1-2,ADAMS,T,BIG FLATS,5500107300,948,26,885,10,1,11,1,10,4,816,19,774,5,0,5,0,10,3,213.31776221556052
TOWN OF COLBURN WARD 1,ADAMS,T,COLBURN,5500116075,215,11,197,0,0,0,1,2,4,195,6,185,0,0,0,1,2,1,64.60662851427549
TOWN OF DELL PRAIRIE WARDS 1-2,ADAMS,T,DELL PRAIRIE,5500119575,1698,118,1444,47,17,39,0,29,4,1388,87,1185,41,9,37,0,25,4,581.4602102900292
TOWN OF EASTON WARD 1,ADAMS,T,EASTON,5500122000,1062,41,967,17,11,13,1,10,2,890,29,832,4,8,8,1,6,2,317.690012333825
TOWN OF JACKSON WARDS 1-2,ADAMS,T,JACKSON,5500137625,1141,36,1053,9,5,22,0,9,7,972,25,902,6,5,22,0,7,5,354.8711864773249
TOWN OF LEOLA WARD 1,ADAMS,T,LEOLA,5500143425,287,3,272,1,1,1,0,7,2,228,1,216,0,1,1,0,7,2,82.98060019641063
TOWN OF LINCOLN WARD 1,ADAMS,T,LINCOLN,5500144250,320,8,302,3,2,2,2,1,0,263,6,247,3,2,2,2,1,0,95.67153504360856
TOWN OF MONROE WARD 1,ADAMS,T,MONROE,5500153725,391,8,373,3,0,0,1,6,0,361,4,349,1,0,0,1,6,0,192.6404442523298
TOWN OF NEW CHESTER WARDS 1-3,ADAMS,T,NEW CHESTER,5500156525,1960,172,1178,469,18,108,1,10,4,1811,148,1072,459,18,102,1,8,3,679.2101851907315
TOWN OF NEW HAVEN WARD 1,ADAMS,T,NEW HAVEN,5500156750,680,21,627,1,2,14,0,14,1,537,15,493,0,2,14,0,12,1,251.5922302090245
TOWN OF PRESTON WARDS 1-2,ADAMS,T,PRESTON,5500165450,1377,43,1276,13,2,22,2,13,6,1134,22,1069,8,2,17,2,11,3,420.0413772355364
TOWN OF QUINCY WARDS 1-2,ADAMS,T,QUINCY,5500165825,1159,20,1097,5,8,14,1,12,2,1026,14,984,1,7,14,1,3,2,383.615663895792
TOWN OF RICHFIELD WARD 1,ADAMS,T,RICHFIELD,5500167425,138,5,127,0,0,2,0,4,0,125,2,117,0,0,2,0,4,0,41.84513200487398
TOWN OF ROME WARDS 1-4,ADAMS,T,ROME,5500169275,3025,51,2873,16,14,40,1,29,1,2726,32,2606,8,12,40,1,27,0,602.4313999201449
TOWN OF SPRINGVILLE WARDS 1-2,ADAMS,T,SPRINGVILLE,5500176350,1283,54,1156,24,4,15,1,28,1,1086,32,1000,11,4,15,1,22,1,316.10602366340026
TOWN OF STRONGS PRAIRIE WARDS 1-2,ADAMS,T,STRONGS PRAIRIE,5500177800,1145,15,1077,20,1,10,1,18,3,968,6,927,8,1,10,0,13,3,261.037674607223
VILLAGE OF FRIENDSHIP WARD 1,ADAMS,V,FRIENDSHIP,5500127950,593,22,535,10,12,6,0,6,2,489,10,450,8,11,6,0,2,2,7040.751445778585
CITY OF ASHLAND WARDS 1-21,ASHLAND,C,ASHLAND,5500303225,7895,223,6281,108,105,1060,12,69,37,6447,139,5328,77,82,731,8,58,24,6407.208480397552
CITY OF MELLEN WARD 1,ASHLAND,C,MELLEN,5500350700,698,5,653,1,6,30,0,0,3,555,3,524,1,5,20,0,0,2,4070.5739538717316
TOWN OF AGENDA WARD 1,ASHLAND,T,AGENDA,5500300550,370,1,352,1,0,11,0,4,1,318,1,307,0,0,6,0,3,1,45.03812590047646
TOWN OF ASHLAND WARD 1,ASHLAND,T,ASHLAND,5500303250,589,11,540,2,6,25,0,5,0,440,7,399,1,4,24,0,5,0,154.40005432439847
TOWN OF CHIPPEWA WARD 1,ASHLAND,T,CHIPPEWA,5500314550,349,6,327,2,3,6,0,4,1,292,5,278,1,0,4,0,3,1,30.29186246780241
TOWN OF GINGLES WARDS 1-2,ASHLAND,T,GINGLES,5500329250,738,17,617,6,7,77,1,6,7,596,7,522,0,4,53,1,6,3,205.336176878127
TOWN OF GORDON WARD 1,ASHLAND,T,GORDON,5500329875,261,0,256,0,0,3,0,2,0,244,0,241,0,0,1,0,2,0,26.956568438683917
TOWN OF JACOBS WARDS 1-2,ASHLAND,T,JACOBS,5500337775,646,10,606,4,5,15,0,4,2,517,5,494,3,1,9,0,3,2,137.32956520355398
TOWN OF LA POINTE WARD 1,ASHLAND,T,LA POINTE,5500342562,386,7,337,21,1,14,0,3,3,333,6,299,14,0,9,0,3,2,53.939207205458466
TOWN OF MARENGO WARD 1,ASHLAND,T,MARENGO,5500349200,460,2,450,2,0,6,0,0,0,265,2,262,0,0,1,0,0,0,69.76066847004344
TOWN OF MORSE WARDS 1-2,ASHLAND,T,MORSE,5500354400,499,8,474,1,2,14,0,0,0,404,4,391,1,1,7,0,0,0,52.65925165978589
TOWN OF PEEKSVILLE WARD 1,ASHLAND,T,PEEKSVILLE,5500361600,139,2,131,3,0,0,0,3,0,119,1,114,2,0,0,0,2,0,40.9279761590628
TOWN OF SANBORN WARDS 1-2,ASHLAND,T,SANBORN,5500371350,1381,65,163,4,0,1125,2,2,20,981,29,152,4,0,783,2,0,11,95.66005730804471
TOWN OF SHANAGOLDEN WARD 1,ASHLAND,T,SHANAGOLDEN,5500372825,131,1,126,1,0,1,0,1,1,109,1,105,0,0,1,0,1,1,15.924029757101666
TOWN OF WHITE RIVER WARDS 1-2,ASHLAND,T,WHITE RIVER,5500386850,1067,16,982,3,1,44,2,14,5,636,2,587,2,1,35,0,9,0,262.3671358841959
VILLAGE OF BUTTERNUT WARD 1,ASHLAND,V,BUTTERNUT,5500311525,366,8,338,3,1,14,0,1,1,286,6,268,1,0,9,0,1,1,2507.679170098491
CITY OF BARRON WARDS 1-7,BARRON,C,BARRON,5500504875,3733,137,2718,678,63,83,2,39,13,2886,74,2245,434,46,58,1,26,2,13903.788128182436
CITY OF CHETEK WARDS 1-4,BARRON,C,CHETEK,5500514325,2172,44,2023,15,9,38,1,38,4,1733,28,1641,2,8,22,0,28,4,10154.708818524216
CITY OF CUMBERLAND WARDS 1-5,BARRON,C,CUMBERLAND,5500518025,2244,123,1966,17,25,72,0,40,1,1718,75,1539,12,14,52,0,26,0,5895.4689793563
CITY OF RICE LAKE WARDS 1-20,BARRON,C,RICE LAKE,5500567350,9061,333,8133,111,156,183,4,115,26,7207,209,6586,61,113,136,2,85,15,11026.065719299924
TOWN OF ALMENA WARDS 1-2,BARRON,T,ALMENA,5500501350,887,34,815,3,1,19,0,15,0,731,20,685,2,0,14,0,10,0,314.28897746058175
TOWN OF ARLAND WARD 1,BARRON,T,ARLAND,5500502775,712,10,665,2,6,18,0,11,0,516,5,485,0,5,13,0,8,0,217.50530555847863
TOWN OF BARRON WARDS 1-2,BARRON,T,BARRON,5500504900,813,33,729,11,3,17,0,14,6,628,26,566,6,3,13,0,11,3,268.8069108789684
TOWN OF BEAR LAKE WARD 1,BARRON,T,BEAR LAKE,5500505650,670,18,627,2,0,17,0,4,2,541,8,512,0,0,15,0,4,2,220.74767230331187
TOWN OF CEDAR LAKE WARDS 1-2,BARRON,T,CEDAR LAKE,5500513500,1076,10,1016,7,2,25,0,14,2,961,5,923,2,2,20,0,8,1,374.26303084939383
TOWN OF CHETEK WARDS 1-3,BARRON,T,CHETEK,5500514350,1726,16,1664,1,5,22,2,12,4,1457,8,1420,0,3,12,2,11,1,612.158398788889
TOWN OF CLINTON WARD 1,BARRON,T,CLINTON,5500515600,870,32,806,3,6,15,0,6,2,683,17,643,2,5,13,0,3,0,267.77110237308386
TOWN OF CRYSTAL LAKE WARD 1,BARRON,T,CRYSTAL LAKE,5500517875,743,15,708,1,3,8,1,6,1,607,12,579,1,3,6,1,5,0,248.1651722206335
TOWN OF CUMBERLAND WARD 1,BARRON,T,CUMBERLAND,5500518050,853,36,784,4,1,12,0,16,0,693,22,644,4,0,9,0,14,0,290.16510435255697
TOWN OF DALLAS WARDS 1-2,BARRON,T,DALLAS,5500518600,570,21,523,5,6,10,0,5,0,453,16,415,4,6,8,0,4,0,181.58257435023867
TOWN OF DOVRE WARD 1,BARRON,T,DOVRE,5500520650,838,11,789,4,7,5,0,17,5,637,7,603,0,7,5,0,12,3,257.5174304488294
TOWN OF DOYLE WARDS 1-2,BARRON,T,DOYLE,5500520750,490,2,465,3,2,3,0,15,0,395,2,378,2,1,3,0,9,0,148.942179218312
TOWN OF LAKELAND WARDS 1-2,BARRON,T,LAKELAND,5500541600,938,5,886,1,9,21,2,14,0,772,3,733,1,7,15,0,13,0,309.66570973819046
TOWN OF MAPLE GROVE WARDS 1-2,BARRON,T,MAPLE GROVE,5500548825,877,37,799,6,8,13,2,10,2,711,27,662,4,6,7,2,3,0,267.03001355655954
TOWN OF MAPLE PLAIN WARD 1,BARRON,T,MAPLE PLAIN,5500548950,839,13,678,3,3,131,1,2,8,679,6,565,1,0,98,1,0,8,273.389668300289
TOWN OF OAK GROVE WARDS 1-2,BARRON,T,OAK GROVE,5500558950,960,7,924,5,4,17,0,1,2,726,4,697,4,3,16,0,0,2,299.623806443086
TOWN OF PRAIRIE FARM WARDS 1-2,BARRON,T,PRAIRIE FARM,5500565175,566,5,542,1,2,3,0,13,0,431,3,413,1,1,2,0,11,0,178.46981993879544
TOWN OF PRAIRIE LAKE WARDS 1-2,BARRON,T,PRAIRIE LAKE,5500565200,1648,18,1574,5,17,16,1,15,2,1307,13,1255,0,11,12,1,13,2,535.3037816797121
TOWN OF RICE LAKE WARDS 1-4,BARRON,T,RICE LAKE,5500567375,2792,58,2616,28,15,37,1,30,7,2238,40,2127,10,13,25,0,20,3,1173.6292620518082
TOWN OF SIOUX CREEK WARD 1,BARRON,T,SIOUX CREEK,5500574125,667,5,632,8,2,11,1,8,0,507,5,483,0,2,8,1,8,0,206.66871111472537
TOWN OF STANFOLD WARD 1,BARRON,T,STANFOLD,5500576550,701,46,624,2,6,11,0,11,1,568,30,518,2,4,7,0,7,0,211.1510893557766
TOWN OF STANLEY WARDS 1-4,BARRON,T,STANLEY,5500576600,2555,38,2409,12,30,33,1,26,6,1975,23,1880,5,22,19,0,20,6,897.2821587839499
TOWN OF SUMNER WARD 1,BARRON,T,SUMNER,5500578450,699,12,656,2,9,6,4,9,1,530,4,507,0,6,4,2,6,1,211.69259996779718
TOWN OF TURTLE LAKE WARD 1,BARRON,T,TURTLE LAKE,5500581100,640,2,613,2,6,6,0,10,1,476,2,463,2,2,1,0,5,1,196.66789439825118
TOWN OF VANCE CREEK WARD 1,BARRON,T,VANCE CREEK,5500582375,689,5,656,1,5,14,0,7,1,518,4,490,1,4,11,0,7,1,210.07995664738033
VILLAGE OF ALMENA WARD 1,BARRON,V,ALMENA,5500501325,705,32,634,3,0,21,0,12,3,545,22,496,3,0,12,0,12,0,6744.401562117271
VILLAGE OF CAMERON WARDS 1-3,BARRON,V,CAMERON,5500512250,1887,59,1687,25,37,42,2,34,1,1407,30,1272,13,26,34,2,29,1,8164.893243438314
VILLAGE OF DALLAS WARD 1,BARRON,V,DALLAS,5500518575,359,9,319,5,7,19,0,0,0,277,5,249,3,7,13,0,0,0,2679.9549254117987
VILLAGE OF HAUGEN WARD 1,BARRON,V,HAUGEN,5500533225,266,9,241,2,3,9,0,1,1,213,5,201,1,1,5,0,0,0,5841.19703728903
VILLAGE OF NEW AUBURN WARD 2,BARRON,V,NEW AUBURN,5500556350,12,2,9,1,0,0,0,0,0,9,1,7,1,0,0,0,0,0,513.3642656217712
VILLAGE OF PRAIRIE FARM WARD 1,BARRON,V,PRAIRIE FARM,5500565150,494,17,445,5,1,19,1,5,1,382,7,353,4,1,10,1,5,1,5686.202270014485
VILLAGE OF TURTLE LAKE WARD 1,BARRON,V,TURTLE LAKE,5500581075,959,23,835,7,18,64,1,7,4,730,14,645,7,15,42,0,5,2,4616.8511510522985
CITY OF ASHLAND WARD 22,BAYFIELD,C,ASHLAND,5500703225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CITY OF BAYFIELD WARDS 1-4,BAYFIELD,C,BAYFIELD,5500705350,584,9,467,5,5,94,0,3,1,517,9,420,1,4,79,0,3,1,7425.733629089271
CITY OF WASHBURN WARDS 1-5,BAYFIELD,C,WASHBURN,5500783525,2051,60,1755,20,9,175,2,28,2,1668,48,1461,11,7,122,2,15,2,5699.8733252377415
TOWN OF BARKSDALE WARDS 1-2,BAYFIELD,T,BARKSDALE,5500704725,745,11,677,6,5,31,0,14,1,629,11,578,1,5,22,0,12,0,145.52955642178418
TOWN OF BARNES WARD 1,BAYFIELD,T,BARNES,5500704750,823,3,787,1,1,19,0,12,0,764,1,736,0,1,15,0,11,0,75.44318888789874
TOWN OF BAYFIELD WARDS 1-2,BAYFIELD,T,BAYFIELD,5500705375,782,10,606,7,6,134,1,15,3,686,9,553,3,4,100,1,15,1,94.92066812699174
TOWN OF BAYVIEW WARD 1,BAYFIELD,T,BAYVIEW,5500705475,512,3,440,3,4,54,0,8,0,417,2,372,2,2,31,0,8,0,132.77444341506575
TOWN OF BELL WARD 1,BAYFIELD,T,BELL,5500706200,355,7,332,0,1,12,0,2,1,333,6,317,0,1,6,0,2,1,64.07723802981315
TOWN OF CABLE WARD 1,BAYFIELD,T,CABLE,5500711675,853,6,807,2,2,17,1,16,2,741,2,706,2,1,13,1,16,0,133.67374737646483
TOWN OF CLOVER WARD 1,BAYFIELD,T,CLOVER,5500715750,261,2,245,0,0,4,1,9,0,238,1,223,0,0,4,1,9,0,47.68970444770959
TOWN OF DELTA WARD 1,BAYFIELD,T,DELTA,5500719662,315,4,291,0,4,8,0,7,1,274,2,260,0,2,4,0,6,0,49.100260735848934
TOWN OF DRUMMOND WARDS 1-2,BAYFIELD,T,DRUMMOND,5500720887,544,13,503,2,0,22,1,1,2,439,4,420,2,0,11,0,0,2,42.88536453643882
TOWN OF EILEEN WARDS 1-2,BAYFIELD,T,EILEEN,5500722925,725,4,652,5,9,49,0,5,1,576,3,523,4,7,35,0,3,1,223.69463268742766
TOWN OF GRAND VIEW WARD 1,BAYFIELD,T,GRAND VIEW,5500730175,508,3,476,3,1,21,0,4,0,445,2,421,3,1,14,0,4,0,52.77056820727539
TOWN OF HUGHES WARD 1,BAYFIELD,T,HUGHES,5500736300,471,10,421,2,8,18,0,12,0,391,3,362,0,3,13,0,10,0,97.64271946263646
TOWN OF IRON RIVER WARDS 1-2,BAYFIELD,T,IRON RIVER,5500737200,1240,13,1132,5,5,56,0,21,8,1027,5,956,0,4,41,0,21,0,419.3643327467703
TOWN OF KELLY WARD 1,BAYFIELD,T,KELLY,5500739025,436,7,384,3,4,31,0,6,1,332,4,297,3,4,20,0,4,0,129.15614047051352
TOWN OF KEYSTONE WARD 1,BAYFIELD,T,KEYSTONE,5500739425,373,3,341,1,0,19,0,8,1,301,3,281,0,0,9,0,8,0,113.76452674330608
TOWN OF LINCOLN WARD 1,BAYFIELD,T,LINCOLN,5500744275,251,2,238,2,1,5,0,3,0,217,2,207,2,0,5,0,1,0,76.4036447137817
TOWN OF MASON WARD 1,BAYFIELD,T,MASON,5500749925,289,3,258,1,2,18,0,7,0,230,3,202,1,2,17,0,5,0,87.51390304031422
TOWN OF NAMAKAGON WARD 1,BAYFIELD,T,NAMAKAGON,5500755375,316,2,306,1,1,2,0,4,0,303,1,294,1,1,2,0,4,0,52.50444191352622
TOWN OF ORIENTA WARD 1,BAYFIELD,T,ORIENTA,5500760275,164,6,149,0,0,6,0,1,2,129,3,121,0,0,4,0,0,1,32.827565445343744
TOWN OF OULU WARD 1,BAYFIELD,T,OULU,5500760775,560,9,527,2,0,16,0,6,0,445,6,423,2,0,12,0,2,0,170.6578037529125
TOWN OF PILSEN WARD 1,BAYFIELD,T,PILSEN,5500762700,216,1,205,0,1,7,0,2,0,179,0,175,0,1,3,0,0,0,66.93039434994822
TOWN OF PORT WING WARD 1,BAYFIELD,T,PORT WING,5500764512,389,5,345,4,2,22,0,11,0,354,1,319,4,1,19,0,10,0,89.12736881257528
TOWN OF RUSSELL WARDS 1-3,BAYFIELD,T,RUSSELL,5500770300,1553,75,280,9,7,1163,0,7,12,1101,31,245,7,2,804,0,7,5,337.21713754275027
TOWN OF TRIPP WARD 1,BAYFIELD,T,TRIPP,5500780750,244,5,227,1,0,7,2,1,1,190,2,178,0,0,7,1,1,1,76.1483755753314
TOWN OF WASHBURN WARDS 1-2,BAYFIELD,T,WASHBURN,5500783550,554,3,505,2,3,32,0,9,0,454,0,422,0,2,23,0,7,0,70.55273421714278
VILLAGE OF MASON WARD 1,BAYFIELD,V,MASON,5500749900,101,0,87,2,0,12,0,0,0,67,0,54,2,0,11,0,0,0,1454.3476230692872
CITY OF DE PERE WARDS 1-5,BROWN,C,DE PERE,5500919775,6172,171,5604,100,97,140,1,51,8,4855,120,4467,64,71,87,1,41,4,36525.28220148672
CITY OF DE PERE WARDS 10-16,BROWN,C,DE PERE,5500919775,6457,425,5264,289,176,205,28,53,17,5399,332,4503,199,144,137,28,46,10,33185.65847606683
CITY OF DE PERE WARDS 17-23,BROWN,C,DE PERE,5500919775,6497,175,5755,113,227,156,3,60,8,4854,102,4397,62,135,108,2,43,5,15488.934075266685
CITY OF DE PERE WARDS 6-9,BROWN,C,DE PERE,5500919775,6106,288,5300,128,136,164,5,60,25,4563,161,4073,58,85,127,4,48,7,18516.4246310625
CITY OF GREEN BAY WARD 1,BROWN,C,GREEN BAY,5500931000,21,5,14,0,0,1,0,0,1,19,4,14,0,0,1,0,0,0,139.81626516889932
CITY OF GREEN BAY WARD 10,BROWN,C,GREEN BAY,5500931000,2856,1065,1341,190,154,68,3,17,18,2032,638,1130,116,91,38,3,10,6,47788.01486799549
CITY OF GREEN BAY WARD 11,BROWN,C,GREEN BAY,5500931000,1396,320,866,35,128,28,0,13,6,1146,216,786,28,81,17,0,13,5,63996.70214469835
CITY OF GREEN BAY WARD 11A,BROWN,C,GREEN BAY,5500931000,890,249,493,12,88,27,2,10,9,649,142,422,4,47,17,1,10,6,25415.590506002733
CITY OF GREEN BAY WARD 12,BROWN,C,GREEN BAY,5500931000,1422,609,564,59,133,41,0,6,10,1002,359,470,36,93,31,0,4,9,34857.72064661545
CITY OF GREEN BAY WARD 12A,BROWN,C,GREEN BAY,5500931000,863,437,153,131,87,41,0,2,12,515,235,124,84,49,19,0,0,4,45646.1498865509
CITY OF GREEN BAY WARD 13,BROWN,C,GREEN BAY,5500931000,2759,1046,1348,127,150,62,5,13,8,2034,647,1167,57,98,47,5,6,7,58829.0348077352
CITY OF GREEN BAY WARD 14,BROWN,C,GREEN BAY,5500931000,3147,697,1967,191,113,135,0,30,14,2299,415,1594,94,72,103,0,12,9,54317.03990557407
CITY OF GREEN BAY WARD 15,BROWN,C,GREEN BAY,5500931000,2968,327,2085,210,92,190,0,46,18,2225,214,1670,132,57,124,0,26,2,57694.03884606233
CITY OF GREEN BAY WARD 16,BROWN,C,GREEN BAY,5500931000,1962,250,1523,34,96,39,1,15,4,1515,133,1258,27,57,27,0,12,1,23609.33713338971
CITY OF GREEN BAY WARD 17,BROWN,C,GREEN BAY,5500931000,2307,772,1137,229,77,73,2,9,8,1690,489,974,126,42,47,2,6,4,33365.70384768331
CITY OF GREEN BAY WARD 18,BROWN,C,GREEN BAY,5500931000,2373,972,1016,159,128,70,3,17,8,1824,622,940,98,99,48,2,14,1,52186.794193561356
CITY OF GREEN BAY WARD 19,BROWN,C,GREEN BAY,5500931000,2303,694,1285,79,154,56,7,22,6,1726,434,1082,51,83,49,4,19,4,51901.18882258106
CITY OF GREEN BAY WARD 2,BROWN,C,GREEN BAY,5500931000,2690,130,2365,53,80,31,1,25,5,1922,61,1743,23,52,25,0,17,1,10627.129042846158
CITY OF GREEN BAY WARD 20,BROWN,C,GREEN BAY,5500931000,3188,895,1695,285,218,66,3,19,7,2533,560,1585,159,149,60,2,17,1,23458.535630202736
CITY OF GREEN BAY WARD 21,BROWN,C,GREEN BAY,5500931000,2728,1219,1095,145,103,135,6,15,10,1999,785,938,85,80,94,3,10,4,46266.967663467054
CITY OF GREEN BAY WARD 22,BROWN,C,GREEN BAY,5500931000,3099,1463,1007,329,136,134,0,13,17,2074,893,839,155,85,87,0,11,4,24821.23919724647
CITY OF GREEN BAY WARD 23,BROWN,C,GREEN BAY,5500931000,876,393,281,129,14,42,0,10,7,575,244,218,66,12,27,0,3,5,11816.469904550682
CITY OF GREEN BAY WARD 24,BROWN,C,GREEN BAY,5500931000,1104,452,440,105,34,53,2,13,5,733,263,346,54,23,35,0,11,1,49948.291192185374
